Incident Type,Department,SOP Steps
Terror Attack / Bomb Threat,Karnataka State Disaster Management Authority (KSDMA),"1. Activate SEOC; convene inter-agency coordination call with Home Department, Police Commissioner, and SDRF. 2. Pre-position SDRF USAR teams near blast zone if explosion has occurred. 3. Coordinate mass casualty response with BBMP Health Wing and 108 service. 4. Issue controlled public advisory to prevent mass panic. 5. Arrange emergency accommodation for evacuated civilians. 6. Coordinate with NIC for communication monitoring and cyber intelligence. 7. Prepare SitRep for CMO every 1 hour."
Terror Attack / Bomb Threat,Bangalore Fire and Emergency Services (BFES),"1. Stand by in cold zone until BDDS clearance is given. 2. On BDDS all-clear or post-blast, enter with full PPE and HAZMAT gear (in case of IED with chemical payload). 3. Conduct structural assessment and fire suppression if explosion has caused fires. 4. Assist rescue operations in coordination with SDRF. 5. Decontaminate victims if chemical component is detected. 6. Secure blast site for forensic preservation."
Landslide / Slope Failure (Peripheral Zones),Karnataka State Disaster Management Authority (KSDMA),"1. Receive landslide alert from KSNDMC rainfall monitoring or community alert (Kanakapura, Tumkur Road, Hesaraghatta periphery). 2. Dispatch SDRF teams with rescue equipment. 3. Coordinate with PWD and BBMP for road clearance. 4. Arrange evacuation of vulnerable zones in coordination with taluk administration. 5. Pre-position rescue boats for cut-off communities. 6. Issue alert on Sakala portal and CM Helpline 1902. 7. Coordinate with GSI (Geological Survey of India) for soil stability assessment. 8. Prepare NDRF requisition if scale exceeds SDRF capacity."
Landslide / Slope Failure (Peripheral Zones),Bruhat Bengaluru Mahanagara Palike (BBMP),"1. Coordinate clearing of blocked roads using JCBs and tipper trucks. 2. Inspect BBMP-maintained retaining walls and slopes in hilly wards (Dasarahalli, Yelahanka). 3. Arrange temporary shelters and relief materials for displaced residents. 4. Flag affected zones for geo-technical survey. 5. Issue building permit restrictions in landslide-prone geo-zones."
Missing Person / Child Abduction,Bangalore Police (Bengaluru City Police),"1. Register complaint under IPC Section 363 (kidnapping) if child; issue AMBER alert via CCTNS. 2. Activate TrackChild Portal (National Missing Children Portal) and link to State Crime Record Bureau. 3. Coordinate with CCTV monitoring cell to pull footage from Namma CCTV network. 4. Deploy plainclothes officers at BMTC and KSRTC bus stands, KSR and Yesvantpur railway stations, and KIAL. 5. Coordinate with Railway Police (GRP) for railway grid watch. 6. Issue description via social media handles of Bengaluru City Police. 7. Coordinate with CWC (Child Welfare Committee) if child is found but identity is unclear. 8. If trafficking suspected, activate AHTUs (Anti-Human Trafficking Units) at Cubbon Park and Shivajinagar."
Missing Person / Child Abduction,Childline India (1098),"1. Receive distress call on 1098 helpline. 2. Conduct intake interview with caller and collect child descriptors. 3. Coordinate with Bengaluru City Police and share complaint reference. 4. Activate local Childline team network (Bangalore Unit: BTM Layout) for field search. 5. Coordinate with railway stations, bus stands, and dhabas on NH-44 for sighting reports. 6. Link with CWC and shelter homes for safe reception if child is found. 7. Provide psychosocial first aid to recovered child before handover to family or CWC."
Water Supply Disruption / Contamination,Bangalore Water Supply and Sewerage Board (BWSSB),"1. Identify source of disruption via BWSSB SCADA (pipeline burst, pump failure, Cauvery supply cut). 2. Dispatch field teams for on-site assessment of affected zone (e.g., South Zone, East Zone). 3. Isolate contaminated section; issue boil-water advisory via BWSSB app and 1916 helpline. 4. Collect water samples; dispatch to BWSSB water quality lab (Malleshwaram). 5. Arrange emergency water tankers for affected zones within 4 hours. 6. Coordinate with BBMP for tanker parking locations in wards. 7. Identify source of contamination (sewage mixing, chemical intrusion). 8. Restore supply within 48 hours for major pipelines; 6 hours for distribution lines. 9. File incident report with Karnataka Urban Water Supply and Drainage Board (KUWS&DB)."
Water Supply Disruption / Contamination,BBMP Health Wing,"1. Issue public health advisory on water safety in affected wards. 2. Deploy mobile medical teams to areas where waterborne illness cases are reported. 3. Coordinate with BWSSB on sample testing results. 4. Activate IDSP reporting if gastroenteritis or diarrhoea cluster is detected. 5. Distribute ORS packets and water purification tablets through ASHA workers. 6. Monitor disease trends in affected wards for 14 days post-incident."
Suicide / Mental Health Crisis,Karnataka 108 Ambulance Service (GVK EMRI),"1. Receive call; dispatch ambulance and alert BLS crew on mental health protocol. 2. If active attempt: coordinate with police for safe access to site (height, bridge, railway). 3. En route, engage caller with ASIST-trained dispatcher using de-escalation techniques. 4. On arrival, conduct primary assessment; manage physical injuries first. 5. Do not restrain unless immediate danger; use verbal de-escalation. 6. Transport to psychiatric emergency at NIMHANS (primary centre) or St. Martha's. 7. Complete mandatory documentation under Mental Healthcare Act, 2017."
Suicide / Mental Health Crisis,Bangalore Police (Bengaluru City Police),"1. Receive PCR call; dispatch nearest patrol with trained Crisis Intervention Officers (CIO). 2. Coordinate with BFES if rescue from height/rail is needed. 3. Establish perimeter; remove bystanders and media. 4. Engage trained negotiator if individual is threatening suicide in public. 5. Coordinate hospital handover with 108 team. 6. Complete mandatory intimation to local magistrate under Section 174 CrPC if death has occurred. 7. Forward case to ACP-Welfare or police counselling cell for survivor support."
Suicide / Mental Health Crisis,NIMHANS (National Institute of Mental Health and Neuro Sciences),"1. Activate Psychiatric Emergency Response Team (PERT) on notification from 108 or police. 2. Receive patient in dedicated psychiatric emergency bay. 3. Conduct rapid mental status examination and suicide risk assessment. 4. Administer pharmacological or non-pharmacological interventions as appropriate. 5. Engage family with psychoeducation and safety planning. 6. Initiate inpatient admission if HIGH risk. 7. Refer to community mental health follow-up via NIMHANS outreach network if discharged. 8. Coordinate with iCall helpline (9152987821) for follow-up counselling."
Lake / Water Body Drowning,Bangalore Fire and Emergency Services (BFES),"1. Receive alert via 101; dispatch nearest fire station boat unit (Ulsoor Lake Station or Sankey Tank unit). 2. En route, gather information: number of victims, visibility, water depth. 3. On arrival, deploy safety boat and throw ropes; attempt surface rescue first. 4. Assign safety officer; ensure all responders wear PFDs (personal flotation devices). 5. Coordinate with divers for submerged victim search. 6. Handover rescued victim to 108 ambulance on shore. 7. Cordon lake periphery with BBMP assistance; notify lake authority. 8. Complete rescue report and flag lake for safety audit to BBMP Lakes wing."
Lake / Water Body Drowning,Karnataka 108 Ambulance Service (GVK EMRI),"1. Dispatch ambulance on receiving drowning alert. 2. On arrival, receive victim from BFES rescue team. 3. Initiate resuscitation protocol: clear airway, provide CPR if pulseless, attach AED if available. 4. Manage hypothermia: warming blankets, IV fluids. 5. Transport to nearest emergency department (bowring, Indira Gandhi children's hospital if child). 6. Document time of submersion, water type (fresh/sewage) for medical handover."
Lake / Water Body Drowning,Bangalore Police (Bengaluru City Police),"1. Secure lake perimeter; prevent bystanders from entering water. 2. Coordinate media management to avoid false reports. 3. Take statement of eyewitnesses. 4. Register case under Section 174 CrPC (unnatural death) if victim does not survive. 5. Identify victim; notify next of kin through jurisdictional police station. 6. Coordinate with BBMP to install safety railings and warning boards post-incident."
